ticker,asset_class,source_index,sector,company,security_code,source_url
8411.T,equity,nikkei225,UNKNOWN,"MIZUHO FINANCIAL GROUP, INC.",8411,https://indexes.nikkei.co.jp/en/nkave/index/component
8591.T,equity,nikkei225,UNKNOWN,ORIX CORP.,8591,https://indexes.nikkei.co.jp/en/nkave/index/component
8601.T,equity,nikkei225,UNKNOWN,DAIWA SECURITIES GROUP INC.,8601,https://indexes.nikkei.co.jp/en/nkave/index/component
8604.T,equity,nikkei225,UNKNOWN,"NOMURA HOLDINGS, INC.",8604,https://indexes.nikkei.co.jp/en/nkave/index/component
8630.T,equity,nikkei225,UNKNOWN,"SOMPO HOLDINGS, INC.",8630,https://indexes.nikkei.co.jp/en/nkave/index/component
8697.T,equity,nikkei225,UNKNOWN,"JAPAN EXCHANGE GROUP, INC.",8697,https://indexes.nikkei.co.jp/en/nkave/index/component
8725.T,equity,nikkei225,UNKNOWN,"MS&AD INSURANCE GROUP HOLDINGS, INC.",8725,https://indexes.nikkei.co.jp/en/nkave/index/component
8750.T,equity,nikkei225,UNKNOWN,"DAIICHI LIFE GROUP, INC.",8750,https://indexes.nikkei.co.jp/en/nkave/index/component
8766.T,equity,nikkei225,UNKNOWN,"TOKIO MARINE HOLDINGS, INC.",8766,https://indexes.nikkei.co.jp/en/nkave/index/component
8795.T,equity,nikkei225,UNKNOWN,"T&D HOLDINGS, INC.",8795,https://indexes.nikkei.co.jp/en/nkave/index/component
8801.T,equity,nikkei225,UNKNOWN,"MITSUI FUDOSAN CO., LTD.",8801,https://indexes.nikkei.co.jp/en/nkave/index/component
8802.T,equity,nikkei225,UNKNOWN,"MITSUBISHI ESTATE CO., LTD.",8802,https://indexes.nikkei.co.jp/en/nkave/index/component
8804.T,equity,nikkei225,UNKNOWN,"TOKYO TATEMONO CO., LTD.",8804,https://indexes.nikkei.co.jp/en/nkave/index/component
8830.T,equity,nikkei225,UNKNOWN,"SUMITOMO REALTY & DEVELOPMENT CO., LTD.",8830,https://indexes.nikkei.co.jp/en/nkave/index/component
9001.T,equity,nikkei225,UNKNOWN,"TOBU RAILWAY CO., LTD.",9001,https://indexes.nikkei.co.jp/en/nkave/index/component
9005.T,equity,nikkei225,UNKNOWN,TOKYU CORP.,9005,https://indexes.nikkei.co.jp/en/nkave/index/component
9007.T,equity,nikkei225,UNKNOWN,"ODAKYU ELECTRIC RAILWAY CO., LTD.",9007,https://indexes.nikkei.co.jp/en/nkave/index/component
9008.T,equity,nikkei225,UNKNOWN,KEIO CORP.,9008,https://indexes.nikkei.co.jp/en/nkave/index/component
9009.T,equity,nikkei225,UNKNOWN,"KEISEI ELECTRIC RAILWAY CO., LTD.",9009,https://indexes.nikkei.co.jp/en/nkave/index/component
9020.T,equity,nikkei225,UNKNOWN,EAST JAPAN RAILWAY CO.,9020,https://indexes.nikkei.co.jp/en/nkave/index/component
9021.T,equity,nikkei225,UNKNOWN,WEST JAPAN RAILWAY CO.,9021,https://indexes.nikkei.co.jp/en/nkave/index/component
9022.T,equity,nikkei225,UNKNOWN,"CENTRAL JAPAN RAILWAY CO., LTD.",9022,https://indexes.nikkei.co.jp/en/nkave/index/component
